order_id,order_line,order_date,customer_code,product_code,quantity,unit_price,discount_pct,payment_method,order_status,data_spedizione,data_consegna,corriere,costo_spedizione,totale_riga
ORD000001,1,2023-01-01,CUST00211,202005,1,126.38,0.0,Bonifico bancario,Consegnato,2023-01-03,2023-01-07,Corriere Nazionale,5.93,126.38
ORD000001,2,2023-01-01,CUST00211,103001,2,81.21,0.0,Bonifico bancario,Consegnato,2023-01-03,2023-01-07,Corriere Nazionale,5.93,162.42
ORD000002,1,2023-01-01,CUST00551,503001,1,10.71,0.0,Bonifico bancario,Consegnato,2023-01-05,2023-01-12,EuroLogistics,9.83,10.71
ORD000002,2,2023-01-01,CUST00551,503001,1,10.71,0.0,Bonifico bancario,Consegnato,2023-01-05,2023-01-12,EuroLogistics,9.83,10.71
ORD000003,1,2023-01-01,CUST00078,503007,1,25.13,0.0,Carta di credito,Consegnato,2023-01-03,2023-01-16,Global Shipping,10.49,25.13
ORD000004,1,2023-01-01,CUST00022,503007,1,25.13,0.0,Bonifico bancario,Consegnato,2023-01-02,2023-01-19,Global Shipping,12.95,25.13
ORD000004,2,01/01/2023,CUST00022,503001,1,10.71,0.0,Bonifico bancario,Consegnato,2023-01-02,2023-01-19,Global Shipping,12.95,10.71
ORD000005,1,2023-01-01,CUST00156,303007,1,"28,22",0.0,Carta di credito,Consegnato,2023-01-01,2023-01-07,  EuroLogistics  ,10.32,28.22
ORD000005,2,2023-01-01,CUST00156,601008,2,16.99,0.0,Carta di credito,Consegnato,2023-01-01,2023-01-07,EuroLogistics,10.32,33.98
ORD000005,3,2023-01-01,CUST00156,301006,1,"68,34",0.0,Carta di credito,Consegnato,2023-01-01,2023-01-07,EuroLogistics,10.32,68.34
ORD000006,1,2023-01-01,CUST00088,603005,2,39.47,0.0,PayPal,Consegnato,2023-01-04,2023-01-07,Corriere Nazionale,5.34,78.94
ORD000007,1,2023-01-01,CUST00213,203002,1,17.86,0.0,Carta di credito,Consegnato,2023-01-04,2023-01-07,Corriere Nazionale,3.53,17.86
ORD000007,2,2023-01-01,CUST00213,503001,3,10.71,0.0,Carta di credito,Consegnato,04-01-2023,2023-01-07,Corriere Nazionale,3.53,32.13
ORD000008,1,2023-01-01,CUST00599,601001,2,14.99,0.0,  Bonifico bancario  ,Consegnato,2023-01-03,2023-01-07,Corriere Nazionale,4.73,29.98
ORD000009,1,2023-01-01,CUST00118,602002,1,13.71,0.0,PayPal,Consegnato,2023-01-04,2023-01-12,EuroLogistics,10.26,13.71
ORD000009,2,2023-01-01,CUST00118,503003,1,10.22,0.0,PayPal,Consegnato,2023-01-04,2023-01-12,eurologistics,10.26,10.22
