product_code,data_rilevazione,quantita_disponibile
303002,2023-01-02,19
303002,2023-01-09,18
303002,2023-01-16,18
303002,2023-01-23,18
303002,2023-01-30,15
303002,2023-02-06,14
303002,2023-02-13,14
303002,2023-02-20,9
303002,2023-02-27,9
303002,2023-03-06,9
303002,2023-03-13,6
303002,2023-03-20,6
303002,2023-03-27,6
303002,2023-04-03,6
303002,2023-04-10,6
303002,2023-04-17,6
303002,2023-04-24,5
303002,2023-05-01,21
303002,2023-05-08,21
303002,2023-05-15,20
303002,2023-05-22,20
303002,2023-05-29,17
303002,2023-06-05,17
303002,2023-06-12,17
303002,2023-06-19,17
303002,2023-06-26,17
303002,2023-07-03,17
303002,2023-07-10,16
303002,2023-07-17,16
303002,2023-07-24,13
303002,2023-07-31,13
303002,2023-08-07,12
303002,2023-08-14,12
303002,2023-08-21,12
303002,2023-08-28,12
303002,2023-09-04,12
303002,2023-09-11,12
303002,2023-09-18,12
303002,2023-09-25,12
303002,2023-10-02,12
303002,2023-10-09,12
303002,2023-10-16,10
303002,2023-10-23,10
303002,2023-10-30,5
303002,2023-11-06,18
303002,2023-11-13,17
303002,2023-11-20,16
303002,2023-11-27,16
303002,2023-12-04,12
303002,2023-12-11,12
303002,2023-12-18,8
303002,2023-12-25,8
303002,2024-01-01,7
303002,2024-01-08,7
303002,2024-01-15,7
303002,2024-01-22,7
303002,2024-01-29,6
303002,2024-02-05,6
303002,2024-02-12,2
303002,2024-02-19,18
303002,2024-02-26,18
303002,2024-03-04,18
303002,2024-03-11,17
303002,2024-03-18,14
303002,2024-03-25,13
303002,2024-04-01,9
303002,2024-04-08,9
303002,2024-04-15,9
303002,2024-04-22,8
303002,2024-04-29,8
303002,2024-05-06,6
303002,2024-05-13,6
303002,2024-05-20,2
303002,2024-05-27,18
303002,2024-06-03,18
303002,2024-06-10,15
303002,2024-06-17,14
303002,2024-06-24,13
303002,2024-07-01,9
303002,2024-07-08,9
303002,2024-07-15,8
303002,2024-07-22,5
303002,2024-07-29,20
303002,2024-08-05,16
303002,2024-08-12,16
303002,2024-08-19,14
303002,2024-08-26,12
303002,2024-09-02,12
303002,2024-09-09,12
303002,2024-09-16,12
303002,2024-09-23,12
303002,2024-09-30,11
303002,2024-10-07,11
303002,2024-10-14,11
303002,2024-10-21,11
303002,2024-10-28,8
303002,2024-11-04,5
303002,2024-11-11,18
303002,2024-11-18,16
303002,2024-11-25,13
303002,2024-12-02,13
303002,2024-12-09,12
303002,2024-12-16,10
303002,2024-12-23,6
303002,2024-12-30,3
303002,2025-01-06,19
303002,2025-01-13,19
303002,2025-01-20,19
303002,2025-01-27,14
303002,2025-02-03,13
303002,2025-02-10,13
303002,2025-02-17,9
303002,2025-02-24,9
303002,2025-03-03,8
303002,2025-03-10,7
303002,2025-03-17,7
303002,2025-03-24,4
303002,2025-03-31,18
303002,2025-04-07,15
303002,2025-04-14,13
303002,2025-04-21,12
303002,2025-04-28,11
303002,2025-05-05,8
303002,2025-05-12,7
303002,2025-05-19,7
303002,2025-05-26,6
303002,2025-06-02,5
303002,2025-06-09,21
303002,2025-06-16,21
303002,2025-06-23,20
303002,2025-06-30,19
303002,2025-07-07,18
303002,2025-07-14,16
303002,2025-07-21,15
303002,2025-07-28,13
303002,2025-08-04,13
303002,2025-08-11,12
303002,2025-08-18,8
303002,2025-08-25,3
303002,2025-09-01,19
303002,2025-09-08,17
303002,2025-09-15,15
303002,2025-09-22,15
303002,2025-09-29,14
303002,2025-10-06,14
303002,2025-10-13,13
303002,2025-10-20,11
303002,2025-10-27,11
303002,2025-11-03,7
303002,2025-11-10,0
303002,2025-11-17,16
303002,2025-11-24,16
303002,2025-12-01,14
303002,2025-12-08,13
303002,2025-12-15,11
303002,2025-12-22,9
303002,2025-12-29,9
301001,2023-01-02,13
