customer_key,cluster,segmento_nome,data_calcolo
1,0,Nuovi clienti in attivazione,2026-08-25
3,0,Nuovi clienti in attivazione,2026-08-25
4,1,Clienti stabili a ritmo irregolare,2026-08-25
5,1,Clienti stabili a ritmo irregolare,2026-08-25
6,1,Clienti stabili a ritmo irregolare,2026-08-25
7,1,Clienti stabili a ritmo irregolare,2026-08-25
8,1,Clienti stabili a ritmo irregolare,2026-08-25
9,1,Clienti stabili a ritmo irregolare,2026-08-25
10,1,Clienti stabili a ritmo irregolare,2026-08-25
11,2,Clienti fedeli di alto valore,2026-08-25
12,1,Clienti stabili a ritmo irregolare,2026-08-25
13,2,Clienti fedeli di alto valore,2026-08-25
14,0,Nuovi clienti in attivazione,2026-08-25
15,1,Clienti stabili a ritmo irregolare,2026-08-25
16,0,Nuovi clienti in attivazione,2026-08-25
17,3,Clienti emergenti ad alta regolarita,2026-08-25
18,2,Clienti fedeli di alto valore,2026-08-25
19,1,Clienti stabili a ritmo irregolare,2026-08-25
20,2,Clienti fedeli di alto valore,2026-08-25
21,1,Clienti stabili a ritmo irregolare,2026-08-25
22,3,Clienti emergenti ad alta regolarita,2026-08-25
23,2,Clienti fedeli di alto valore,2026-08-25
24,1,Clienti stabili a ritmo irregolare,2026-08-25
25,2,Clienti fedeli di alto valore,2026-08-25
26,1,Clienti stabili a ritmo irregolare,2026-08-25
27,1,Clienti stabili a ritmo irregolare,2026-08-25
28,1,Clienti stabili a ritmo irregolare,2026-08-25
29,3,Clienti emergenti ad alta regolarita,2026-08-25
30,1,Clienti stabili a ritmo irregolare,2026-08-25
31,2,Clienti fedeli di alto valore,2026-08-25
32,1,Clienti stabili a ritmo irregolare,2026-08-25
33,3,Clienti emergenti ad alta regolarita,2026-08-25
34,1,Clienti stabili a ritmo irregolare,2026-08-25
35,1,Clienti stabili a ritmo irregolare,2026-08-25
36,1,Clienti stabili a ritmo irregolare,2026-08-25
37,2,Clienti fedeli di alto valore,2026-08-25
38,1,Clienti stabili a ritmo irregolare,2026-08-25
39,2,Clienti fedeli di alto valore,2026-08-25
40,3,Clienti emergenti ad alta regolarita,2026-08-25
41,1,Clienti stabili a ritmo irregolare,2026-08-25
42,1,Clienti stabili a ritmo irregolare,2026-08-25
43,2,Clienti fedeli di alto valore,2026-08-25
44,3,Clienti emergenti ad alta regolarita,2026-08-25
45,0,Nuovi clienti in attivazione,2026-08-25
46,3,Clienti emergenti ad alta regolarita,2026-08-25
47,2,Clienti fedeli di alto valore,2026-08-25
48,0,Nuovi clienti in attivazione,2026-08-25
49,2,Clienti fedeli di alto valore,2026-08-25
50,1,Clienti stabili a ritmo irregolare,2026-08-25
51,1,Clienti stabili a ritmo irregolare,2026-08-25
52,2,Clienti fedeli di alto valore,2026-08-25
53,3,Clienti emergenti ad alta regolarita,2026-08-25
54,2,Clienti fedeli di alto valore,2026-08-25
55,3,Clienti emergenti ad alta regolarita,2026-08-25
56,2,Clienti fedeli di alto valore,2026-08-25
57,3,Clienti emergenti ad alta regolarita,2026-08-25
58,1,Clienti stabili a ritmo irregolare,2026-08-25
59,0,Nuovi clienti in attivazione,2026-08-25
60,3,Clienti emergenti ad alta regolarita,2026-08-25
61,3,Clienti emergenti ad alta regolarita,2026-08-25
62,2,Clienti fedeli di alto valore,2026-08-25
63,2,Clienti fedeli di alto valore,2026-08-25
64,3,Clienti emergenti ad alta regolarita,2026-08-25
65,2,Clienti fedeli di alto valore,2026-08-25
66,2,Clienti fedeli di alto valore,2026-08-25
67,2,Clienti fedeli di alto valore,2026-08-25
68,3,Clienti emergenti ad alta regolarita,2026-08-25
69,2,Clienti fedeli di alto valore,2026-08-25
70,1,Clienti stabili a ritmo irregolare,2026-08-25
71,3,Clienti emergenti ad alta regolarita,2026-08-25
72,1,Clienti stabili a ritmo irregolare,2026-08-25
73,1,Clienti stabili a ritmo irregolare,2026-08-25
75,2,Clienti fedeli di alto valore,2026-08-25
76,3,Clienti emergenti ad alta regolarita,2026-08-25
77,1,Clienti stabili a ritmo irregolare,2026-08-25
78,0,Nuovi clienti in attivazione,2026-08-25
79,2,Clienti fedeli di alto valore,2026-08-25
80,2,Clienti fedeli di alto valore,2026-08-25
81,0,Nuovi clienti in attivazione,2026-08-25
82,2,Clienti fedeli di alto valore,2026-08-25
83,2,Clienti fedeli di alto valore,2026-08-25
84,2,Clienti fedeli di alto valore,2026-08-25
85,1,Clienti stabili a ritmo irregolare,2026-08-25
86,1,Clienti stabili a ritmo irregolare,2026-08-25
87,2,Clienti fedeli di alto valore,2026-08-25
88,2,Clienti fedeli di alto valore,2026-08-25
89,3,Clienti emergenti ad alta regolarita,2026-08-25
90,1,Clienti stabili a ritmo irregolare,2026-08-25
91,2,Clienti fedeli di alto valore,2026-08-25
92,2,Clienti fedeli di alto valore,2026-08-25
93,2,Clienti fedeli di alto valore,2026-08-25
94,1,Clienti stabili a ritmo irregolare,2026-08-25
95,1,Clienti stabili a ritmo irregolare,2026-08-25
96,2,Clienti fedeli di alto valore,2026-08-25
97,3,Clienti emergenti ad alta regolarita,2026-08-25
98,2,Clienti fedeli di alto valore,2026-08-25
99,2,Clienti fedeli di alto valore,2026-08-25
100,1,Clienti stabili a ritmo irregolare,2026-08-25
101,2,Clienti fedeli di alto valore,2026-08-25
102,2,Clienti fedeli di alto valore,2026-08-25
103,2,Clienti fedeli di alto valore,2026-08-25
104,2,Clienti fedeli di alto valore,2026-08-25
105,2,Clienti fedeli di alto valore,2026-08-25
106,0,Nuovi clienti in attivazione,2026-08-25
108,2,Clienti fedeli di alto valore,2026-08-25
109,1,Clienti stabili a ritmo irregolare,2026-08-25
110,2,Clienti fedeli di alto valore,2026-08-25
111,2,Clienti fedeli di alto valore,2026-08-25
112,2,Clienti fedeli di alto valore,2026-08-25
113,1,Clienti stabili a ritmo irregolare,2026-08-25
114,3,Clienti emergenti ad alta regolarita,2026-08-25
115,3,Clienti emergenti ad alta regolarita,2026-08-25
116,1,Clienti stabili a ritmo irregolare,2026-08-25
117,3,Clienti emergenti ad alta regolarita,2026-08-25
118,1,Clienti stabili a ritmo irregolare,2026-08-25
119,2,Clienti fedeli di alto valore,2026-08-25
120,2,Clienti fedeli di alto valore,2026-08-25
121,2,Clienti fedeli di alto valore,2026-08-25
122,1,Clienti stabili a ritmo irregolare,2026-08-25
123,2,Clienti fedeli di alto valore,2026-08-25
124,2,Clienti fedeli di alto valore,2026-08-25
125,2,Clienti fedeli di alto valore,2026-08-25
126,2,Clienti fedeli di alto valore,2026-08-25
127,2,Clienti fedeli di alto valore,2026-08-25
128,1,Clienti stabili a ritmo irregolare,2026-08-25
129,1,Clienti stabili a ritmo irregolare,2026-08-25
130,2,Clienti fedeli di alto valore,2026-08-25
131,2,Clienti fedeli di alto valore,2026-08-25
133,2,Clienti fedeli di alto valore,2026-08-25
134,1,Clienti stabili a ritmo irregolare,2026-08-25
135,1,Clienti stabili a ritmo irregolare,2026-08-25
136,1,Clienti stabili a ritmo irregolare,2026-08-25
137,2,Clienti fedeli di alto valore,2026-08-25
138,1,Clienti stabili a ritmo irregolare,2026-08-25
139,1,Clienti stabili a ritmo irregolare,2026-08-25
140,1,Clienti stabili a ritmo irregolare,2026-08-25
141,3,Clienti emergenti ad alta regolarita,2026-08-25
142,2,Clienti fedeli di alto valore,2026-08-25
143,0,Nuovi clienti in attivazione,2026-08-25
144,1,Clienti stabili a ritmo irregolare,2026-08-25
145,0,Nuovi clienti in attivazione,2026-08-25
146,2,Clienti fedeli di alto valore,2026-08-25
147,2,Clienti fedeli di alto valore,2026-08-25
148,2,Clienti fedeli di alto valore,2026-08-25
149,3,Clienti emergenti ad alta regolarita,2026-08-25
150,2,Clienti fedeli di alto valore,2026-08-25
151,2,Clienti fedeli di alto valore,2026-08-25
152,1,Clienti stabili a ritmo irregolare,2026-08-25
154,3,Clienti emergenti ad alta regolarita,2026-08-25
155,1,Clienti stabili a ritmo irregolare,2026-08-25
156,3,Clienti emergenti ad alta regolarita,2026-08-25
157,1,Clienti stabili a ritmo irregolare,2026-08-25
158,2,Clienti fedeli di alto valore,2026-08-25
159,2,Clienti fedeli di alto valore,2026-08-25
160,2,Clienti fedeli di alto valore,2026-08-25
161,2,Clienti fedeli di alto valore,2026-08-25
162,2,Clienti fedeli di alto valore,2026-08-25
163,1,Clienti stabili a ritmo irregolare,2026-08-25
164,2,Clienti fedeli di alto valore,2026-08-25
165,1,Clienti stabili a ritmo irregolare,2026-08-25
166,3,Clienti emergenti ad alta regolarita,2026-08-25
167,3,Clienti emergenti ad alta regolarita,2026-08-25
168,1,Clienti stabili a ritmo irregolare,2026-08-25
169,2,Clienti fedeli di alto valore,2026-08-25
170,1,Clienti stabili a ritmo irregolare,2026-08-25
171,3,Clienti emergenti ad alta regolarita,2026-08-25
172,2,Clienti fedeli di alto valore,2026-08-25
173,3,Clienti emergenti ad alta regolarita,2026-08-25
174,1,Clienti stabili a ritmo irregolare,2026-08-25
175,1,Clienti stabili a ritmo irregolare,2026-08-25
176,1,Clienti stabili a ritmo irregolare,2026-08-25
177,3,Clienti emergenti ad alta regolarita,2026-08-25
178,3,Clienti emergenti ad alta regolarita,2026-08-25
179,2,Clienti fedeli di alto valore,2026-08-25
180,2,Clienti fedeli di alto valore,2026-08-25
