categoria;data_mese;quantita_totale_venduta
Abbigliamento;2026-01-01;131
Abbigliamento;2026-02-01;148
Abbigliamento;2026-03-01;146
Bellezza & Salute;2026-01-01;296
Bellezza & Salute;2026-02-01;309
Bellezza & Salute;2026-03-01;313
Casa & Arredamento;2026-01-01;164
Casa & Arredamento;2026-02-01;156
Casa & Arredamento;2026-03-01;132
Elettronica;2026-01-01;279
Elettronica;2026-02-01;294
Elettronica;2026-03-01;268
Libri & Media;2026-01-01;259
Libri & Media;2026-02-01;292
Libri & Media;2026-03-01;274
Sport & Tempo Libero;2026-01-01;291
Sport & Tempo Libero;2026-02-01;262
Sport & Tempo Libero;2026-03-01;304
