order_id;nome_prodotto;categoria;sottocategoria
ORD000001;Speaker Bluetooth Surround;Elettronica;Audio & Video
ORD000001;Vestito Elegante;Abbigliamento;Donna
ORD000004;Integratore Vitaminico Premium;Bellezza & Salute;Benessere
ORD000004;Maschera Relax Bio;Bellezza & Salute;Benessere
ORD000005;Comodino Classico;Casa & Arredamento;Arredo
ORD000005;Libro Per Bambini Illustrato 2;Libri & Media;Libri
ORD000005;Vaso Elegante;Casa & Arredamento;Decorazione
ORD000007;Maschera Relax Bio;Bellezza & Salute;Benessere
ORD000007;T-shirt Estivo;Abbigliamento;Bambino
ORD000009;Colonna Sonora Edizione Speciale;Libri & Media;Film & Musica
ORD000009;Maschera Relax Premium;Bellezza & Salute;Benessere
ORD000011;Elastici Fitness Home;Sport & Tempo Libero;Fitness
ORD000011;Libro Per Bambini Illustrato;Libri & Media;Libri
ORD000012;Lampada Da Terra Vintage;Casa & Arredamento;Arredo
ORD000012;Rasoio Elettrico Pro;Bellezza & Salute;Cura Persona
ORD000013;Integratore Vitaminico Premium;Bellezza & Salute;Benessere
ORD000013;Peluche Collector;Libri & Media;Giochi & Hobby
ORD000015;Fascia Cardio Pro;Sport & Tempo Libero;Fitness
ORD000015;Manuale Tecnico Bestseller;Libri & Media;Libri
ORD000015;Manuale Tecnico Classico;Libri & Media;Libri
ORD000017;Asciugacapelli Premium;Bellezza & Salute;Cura Persona
ORD000017;Integratore Vitaminico Basic;Bellezza & Salute;Benessere
ORD000020;Carte Collezionabili Deluxe;Libri & Media;Giochi & Hobby
ORD000020;Fumetto Tascabile;Libri & Media;Libri
ORD000020;Peluche Collector;Libri & Media;Giochi & Hobby
ORD000021;Matita Occhi Long Lasting;Bellezza & Salute;Make-up
ORD000021;Peluche Collector;Libri & Media;Giochi & Hobby
ORD000021;Specchio Vintage;Casa & Arredamento;Arredo
ORD000022;Bilancia Digitale Inox;Casa & Arredamento;Cucina
ORD000022;Vaso Elegante;Casa & Arredamento;Decorazione
ORD000023;Corda Per Saltare Adjustable 2;Sport & Tempo Libero;Fitness
ORD000023;Felpa Casual;Abbigliamento;Uomo
ORD000023;Fumetto Tascabile;Libri & Media;Libri
ORD000023;Vestito Elegante;Abbigliamento;Donna
ORD000024;Candela Profumata Boho;Casa & Arredamento;Decorazione
ORD000024;Integratore Vitaminico Premium;Bellezza & Salute;Benessere
ORD000024;Matita Occhi Long Lasting;Bellezza & Salute;Make-up
ORD000026;Elastici Fitness Home;Sport & Tempo Libero;Fitness
ORD000026;Telecamera Surround;Elettronica;Audio & Video
ORD000027;Auricolari Pro;Elettronica;Smartphone & Accessori
ORD000027;Maschera Relax Bio;Bellezza & Salute;Benessere
ORD000028;Foulard Basic;Abbigliamento;Donna
ORD000028;Laptop Compact;Elettronica;Informatica
ORD000031;Integratore Vitaminico Premium;Bellezza & Salute;Benessere
ORD000031;Maschera Relax Bio;Bellezza & Salute;Benessere
ORD000032;Corda Per Saltare Adjustable;Sport & Tempo Libero;Fitness
ORD000032;Speaker Bluetooth Surround;Elettronica;Audio & Video
ORD000038;Maschera Relax Bio;Bellezza & Salute;Benessere
ORD000038;Maschera Relax Premium;Bellezza & Salute;Benessere
ORD000040;Felpa Casual;Abbigliamento;Uomo
ORD000040;Pigiama Comodo 2;Abbigliamento;Bambino
ORD000040;T-shirt Colorato;Abbigliamento;Bambino
ORD000043;Carte Collezionabili Deluxe;Libri & Media;Giochi & Hobby
ORD000043;Saggio Illustrato;Libri & Media;Libri
ORD000044;Lampada Da Terra Vintage;Casa & Arredamento;Arredo
ORD000044;Sedia Minimal;Casa & Arredamento;Arredo
ORD000044;Tappeto Naturale;Casa & Arredamento;Decorazione
ORD000048;Cover Lite;Elettronica;Smartphone & Accessori
ORD000048;Ssd Esterno Compact;Elettronica;Informatica
ORD000049;Fondotinta Matte;Bellezza & Salute;Make-up
ORD000049;Matita Occhi Long Lasting;Bellezza & Salute;Make-up
ORD000052;Kit Fai Da Te Collector;Libri & Media;Giochi & Hobby
ORD000052;Kit Fai Da Te Deluxe;Libri & Media;Giochi & Hobby
ORD000052;Libro Per Bambini Illustrato;Libri & Media;Libri
ORD000053;Fumetto Tascabile;Libri & Media;Libri
ORD000053;Maschera Relax Bio;Bellezza & Salute;Benessere
ORD000056;Peluche Collector;Libri & Media;Giochi & Hobby
ORD000056;Smartphone Pro;Elettronica;Smartphone & Accessori
ORD000059;Foulard Basic;Abbigliamento;Donna
ORD000059;Giacca Elegante;Abbigliamento;Uomo
ORD000062;Foulard Casual;Abbigliamento;Donna
ORD000062;Integratore Vitaminico Basic;Bellezza & Salute;Benessere
ORD000062;Smartphone Pro;Elettronica;Smartphone & Accessori
ORD000062;T-shirt Colorato;Abbigliamento;Bambino
ORD000066;Epilatore Basic 2;Bellezza & Salute;Cura Persona
ORD000066;Integratore Vitaminico Basic;Bellezza & Salute;Benessere
ORD000066;Rasoio Elettrico Basic;Bellezza & Salute;Cura Persona
ORD000070;Maschera Relax Bio;Bellezza & Salute;Benessere
ORD000070;Peluche Collector;Libri & Media;Giochi & Hobby
ORD000071;Kit Fai Da Te Collector;Libri & Media;Giochi & Hobby
ORD000071;Kit Fai Da Te Deluxe;Libri & Media;Giochi & Hobby
ORD000072;Maglietta Basic;Abbigliamento;Uomo
ORD000072;Pellicola Protettiva Air;Elettronica;Smartphone & Accessori
ORD000072;Webcam Hd;Elettronica;Informatica
ORD000073;Pellicola Protettiva Air;Elettronica;Smartphone & Accessori
ORD000073;Romanzo Tascabile;Libri & Media;Libri
ORD000073;Webcam Hd;Elettronica;Informatica
ORD000076;Elastici Fitness Home;Sport & Tempo Libero;Fitness
ORD000076;Soundbar Wireless;Elettronica;Audio & Video
ORD000076;T-shirt Estivo;Abbigliamento;Bambino
ORD000077;Borraccia Termica Pro;Sport & Tempo Libero;Outdoor
ORD000077;Manuale Tecnico Bestseller;Libri & Media;Libri
ORD000078;Peluche Collector;Libri & Media;Giochi & Hobby
ORD000078;Soundbar Wireless;Elettronica;Audio & Video
ORD000078;Specchio Vintage;Casa & Arredamento;Arredo
ORD000079;Ssd Esterno Pro;Elettronica;Informatica
ORD000079;Tappeto Naturale;Casa & Arredamento;Decorazione
ORD000080;Olio Essenziale Family;Bellezza & Salute;Benessere
ORD000080;Soundbar Wireless;Elettronica;Audio & Video
ORD000080;Tisana Benessere Family;Bellezza & Salute;Benessere
ORD000081;Giacca Elegante;Abbigliamento;Uomo
ORD000081;Matita Occhi Matte;Bellezza & Salute;Make-up
ORD000082;Corda Per Saltare Adjustable;Sport & Tempo Libero;Fitness
ORD000082;Torcia Led Compact;Sport & Tempo Libero;Outdoor
ORD000083;Fascia Cardio Pro;Sport & Tempo Libero;Fitness
ORD000083;Integratore Vitaminico Premium;Bellezza & Salute;Benessere
ORD000084;Maschera Relax Bio;Bellezza & Salute;Benessere
ORD000084;Soundbar Wireless;Elettronica;Audio & Video
ORD000085;Antifurto Bici Mtb;Sport & Tempo Libero;Ciclismo
ORD000085;Bastoncini Trekking Basic;Sport & Tempo Libero;Outdoor
ORD000085;Tenda Da Campeggio Basic;Sport & Tempo Libero;Outdoor
ORD000086;Fumetto Tascabile;Libri & Media;Libri
ORD000086;Peluche Collector;Libri & Media;Giochi & Hobby
ORD000089;Epilatore Basic;Bellezza & Salute;Cura Persona
ORD000089;Rasoio Elettrico Pro;Bellezza & Salute;Cura Persona
ORD000091;Felpa Casual;Abbigliamento;Uomo
ORD000091;Maglietta Basic;Abbigliamento;Uomo
ORD000091;Soundbar Wireless;Elettronica;Audio & Video
ORD000094;Maschera Relax Bio;Bellezza & Salute;Benessere
ORD000094;Set Pentole Inox;Casa & Arredamento;Cucina
ORD000094;Specchio Nordico;Casa & Arredamento;Arredo
ORD000095;Lampada Da Terra Vintage;Casa & Arredamento;Arredo
ORD000095;Sedia Minimal;Casa & Arredamento;Arredo
ORD000097;Elastici Fitness Home;Sport & Tempo Libero;Fitness
ORD000097;Fumetto Tascabile;Libri & Media;Libri
ORD000098;Blu-ray Deluxe;Libri & Media;Film & Musica
ORD000098;Gonna Basic;Abbigliamento;Donna
ORD000098;Vinile Collector;Libri & Media;Film & Musica
ORD000098;Vinile Edizione Speciale;Libri & Media;Film & Musica
ORD000100;Carte Collezionabili Deluxe 2;Libri & Media;Giochi & Hobby
ORD000100;Fondotinta Classic;Bellezza & Salute;Make-up
ORD000100;Manubri Premium;Sport & Tempo Libero;Fitness
ORD000100;Tappetino Yoga Pro;Sport & Tempo Libero;Fitness
ORD000101;Elastici Fitness Home;Sport & Tempo Libero;Fitness
ORD000101;Epilatore Basic 2;Bellezza & Salute;Cura Persona
ORD000101;Soundbar Wireless;Elettronica;Audio & Video
ORD000103;Manuale Tecnico Bestseller;Libri & Media;Libri
ORD000103;Romanzo Classico;Libri & Media;Libri
ORD000103;Soundbar Wireless;Elettronica;Audio & Video
ORD000105;Fumetto Tascabile;Libri & Media;Libri
ORD000105;Specchio Nordico;Casa & Arredamento;Arredo
ORD000105;Vaso Elegante;Casa & Arredamento;Decorazione
ORD000108;Blu-ray Deluxe;Libri & Media;Film & Musica
ORD000108;Soundbar Wireless;Elettronica;Audio & Video
ORD000111;Maschera Relax Bio;Bellezza & Salute;Benessere
ORD000111;Peluche Collector;Libri & Media;Giochi & Hobby
ORD000112;Speaker Bluetooth Studio;Elettronica;Audio & Video
ORD000112;Tenda Da Campeggio Basic;Sport & Tempo Libero;Outdoor
ORD000113;Pantaloncino Estivo;Abbigliamento;Bambino
ORD000113;Pigiama Comodo 2;Abbigliamento;Bambino
ORD000114;Antifurto Bici Mtb;Sport & Tempo Libero;Ciclismo
ORD000114;Blu-ray Deluxe;Libri & Media;Film & Musica
ORD000118;Smartphone Pro;Elettronica;Smartphone & Accessori
ORD000118;Soundbar Portable;Elettronica;Audio & Video
ORD000119;Fondotinta Matte;Bellezza & Salute;Make-up
ORD000119;Maschera Relax Bio;Bellezza & Salute;Benessere
ORD000119;Peluche Collector;Libri & Media;Giochi & Hobby
ORD000120;Integratore Vitaminico Premium;Bellezza & Salute;Benessere
ORD000120;Luci Bici Compact;Sport & Tempo Libero;Ciclismo
ORD000121;Fumetto Tascabile;Libri & Media;Libri
ORD000121;Peluche Collector;Libri & Media;Giochi & Hobby
ORD000121;Torcia Led Compact;Sport & Tempo Libero;Outdoor
ORD000123;Integratore Vitaminico Premium;Bellezza & Salute;Benessere
ORD000123;Maschera Relax Bio;Bellezza & Salute;Benessere
ORD000125;Candela Profumata Elegante;Casa & Arredamento;Decorazione
ORD000125;Peluche Collector;Libri & Media;Giochi & Hobby
ORD000125;Smartphone Pro;Elettronica;Smartphone & Accessori
ORD000128;Borsa Bici Basic;Sport & Tempo Libero;Ciclismo
ORD000128;Corda Per Saltare Adjustable;Sport & Tempo Libero;Fitness
ORD000129;Cuffie Studio;Elettronica;Audio & Video
ORD000129;Soundbar Wireless;Elettronica;Audio & Video
ORD000130;Matita Occhi Matte;Bellezza & Salute;Make-up
ORD000130;Palette Ombretti Long Lasting;Bellezza & Salute;Make-up
ORD000130;Soundbar Wireless;Elettronica;Audio & Video
ORD000132;Corda Per Saltare Adjustable;Sport & Tempo Libero;Fitness
ORD000132;Integratore Vitaminico Premium;Bellezza & Salute;Benessere
ORD000132;Maschera Relax Bio;Bellezza & Salute;Benessere
ORD000133;Friggitrice Ad Aria Basic;Casa & Arredamento;Cucina
ORD000133;Maglietta Sportivo;Abbigliamento;Uomo
ORD000133;Peluche Collector;Libri & Media;Giochi & Hobby
